COMMUNE;DEPT;CODE POSTAL;LAT;LON
Saint-Maurice-de-Rémens;1;1500;45.953;5.271
Saint-Nizier-le-Bouchoux;1;1560;46.453;5.176
Saint-Nizier-le-Désert;1;1320;46.053;5.142
Sainte-Olive;1;1330;46.014;4.936
Saint-Paul-de-Varax;1;1240;46.096;5.128
Saint-Rambert-en-Bugey;1;1230;45.95;5.44
Saint-Rémy;1;1310;46.185;5.168
Saint-Sorlin-en-Bugey;1;1150;45.886;5.376
Saint-Sulpice;1;1340;46.321;5.042
Saint-Trivier-de-Courtes;1;1560;46.461;5.067
Saint-Trivier-sur-Moignans;1;1990;46.062;4.902
Saint-Vulbas;1;1150;45.822;5.27
Salavre;1;1270;46.364;5.347
Samognat;1;1580;46.265;5.586
Sandrans;1;1400;46.066;4.983
Sault-Brénaz;1;1150;45.865;5.404
Sauverny;1;1220;46.313;6.11
Savigneux;1;1480;45.997;4.858
Ségny;1;1170;46.294;6.073
Seillonnaz;1;1470;45.798;5.498
Sergy;1;1630;46.263;5.989
Sermoyer;1;1190;46.498;4.979
Serrières-de-Briord;1;1470;45.813;5.441
Serrières-sur-Ain;1;1450;46.147;5.45
Servas;1;1960;46.139;5.179
Servignat;1;1560;46.435;5.056
Seyssel;1;1420;45.948;5.826
Simandre-sur-Suran;1;1250;46.234;5.422
Sonthonnax-la-Montagne;1;1580;46.223;5.506
Souclin;1;1150;45.878;5.431
Sulignat;1;1400;46.174;4.958
Talissieu;1;1510;45.864;5.721
Tenay;1;1230;45.923;5.514
Thil;1;1120;45.817;5.018
Thoiry;1;1710;46.244;5.965
Thoissey;1;1140;46.17;4.794
Torcieu;1;1230;45.921;5.404
Tossiat;1;1250;46.138;5.304
Toussieux;1;1600;45.96;4.829
Tramoyes;1;1390;45.875;4.964
La Tranclière;1;1160;46.097;5.261
Val-Revermont;1;1370;46.28;5.361
Trévoux;1;1600;45.941;4.771
Valeins;1;1140;46.115;4.866
Vandeins;1;1660;46.218;5.082
Varambon;1;1160;46.043;5.295
Vaux-en-Bugey;1;1150;45.92;5.364
Verjon;1;1270;46.346;5.348
Vernoux;1;1560;46.485;5.106
Versailleux;1;1330;45.985;5.112
Versonnex;1;1210;46.3;6.101
Vesancy;1;1170;46.361;6.085
Vescours;1;1560;46.474;5.026
Vésines;1;1570;46.359;4.863
Vieu-d'Izenave;1;1430;46.085;5.549
Villars-les-Dombes;1;1330;45.993;5.045
Villebois;1;1150;45.849;5.447
Villemotier;1;1270;46.346;5.31
Villeneuve;1;1480;46.032;4.852
Villereversure;1;1250;46.193;5.395
Villes;1;1200;46.095;5.757
Villette-sur-Ain;1;1320;46.01;5.252
Villieu-Loyes-Mollon;1;1800;45.932;5.23
Viriat;1;1440;46.251;5.223
Virieu-le-Grand;1;1510;45.846;5.64
Arvière-en-Valromey;1;1260;45.906;5.737
Virignin;1;1300;45.727;5.713
Vongnes;1;1350;45.813;5.725
Vonnas;1;1540;46.217;4.997
Abbécourt;2;2300;49.599;3.177
Achery;2;2800;49.694;3.397
Acy;2;2200;49.347;3.418
Agnicourt-et-Séchelles;2;2340;49.717;3.96
